bases_id,title,public_url,description,keywords,author,og_title,og_type,og_url,og_image,og_site_name,og_description
411,ドリフェス！,http://www.dream-fes.com/anime/,,,,,,,,,
413,怪獣娘(かいじゅうがーるず)～ウルトラ怪獣擬人化計画～,http://kaiju-gk.jp/anime/,,,,アニメ | ウルトラ怪獣擬人化計画,article,http://kaiju-gk.jp/anime/,,ウルトラ怪獣擬人化計画,
414,デジモンユニバース アプリモンスターズ：アプモン,http://www.toei-anim.co.jp/tv/appmon/,デジモンの系譜を継ぐ、まったく新しい物語。少年ハルと検索アプリのモンスター・ガッチモン(アプモン)の凸凹コンビがネットと現時世界を駆け巡る新感覚バディストーリーがいま起動する！,"アプモン,東映アニメーション",,デジモンユニバース アプリモンスターズ,website,http://www.toei-anim.co.jp/tv/appmon/,http://www.toei-anim.co.jp/tv/appmon/images/common/ogp.png,,デジモンユニバース アプリモンスターズ(アプモン)、デジモンの系譜を継ぐ、まったく新しい物語が起動する-バンダイ×バンダイナムコエンターテインメント×東映アニメーションの3社連動ホビー・ゲーム・テレビアニメの超大型プロジェクト!!2016年秋、起動！
415,タイムボカン24(トゥエンティーフォー),http://www.ytv.co.jp/timebokan24/,読売テレビ・日本テレビ系にて放送スタート！アニメ「タイムボカン24」公式サイトです,"タイムボカン24,アニメ,読売テレビ,ytv",,タイムボカン24｜読売テレビ,website,http://www.ytv.co.jp/timebokan24/,http://www.ytv.co.jp/timebokan24/sns.jpg,タイムボカン24,読売テレビ・日本テレビ系にて放送スタート！アニメ「タイムボカン24」公式サイトです
416,Bloodivores(ブラッディヴォーレス),http://bloodivores.com/,,,,,,,,,
417,ブブキ・ブランキ 星の巨人,http://bbkbrnk.com/,,"ブブキ・ブランキ,ブブキ,ブランキ,BUBUKI/BURANKI,BBKBRNK,BBK,サンジゲン,KADOKAWA,ウルトラスーパーピクチャーズ,小松田大全",BBKBRNK Partners,ブブキ・ブランキ 星の巨人 | BUBUKI/BURANKI,website,http://bbkbrnk.com,http://bbkbrnk.com/img/card.png?436298437910,ブブキ・ブランキ 星の巨人 | BUBUKI/BURANKI,2016年10月から放送予定 | @bbkbrnk #ブブキ
418,終末のイゼッタ,http://izetta.jp/,終末のイゼッタ　西暦1940年−　少女は、戦場を翔ける,"終末のイゼッタ, アニメ",http://izetta.jp/,オリジナルアニメ「終末のイゼッタ」公式サイト,,http://izetta.jp/,http://izetta.jp/img/sns.jpg,,終末のイゼッタ　西暦1940年−　少女は、戦場を翔ける
419,WWW.WORKING!!,http://working-www.com/,ご新規さんも常連さんも、ワグナリアにいらっしゃいませ♪,"WORKING,ワーキング,ANIPLEX,アニプレックス,高津カリノ,鎌倉由実,A-1 Pictures",,「WWW.WORKING!!」公式サイト,website,http://working-www.com/,http://working-www.com/share.png,,ご新規さんも常連さんも、ワグナリアにいらっしゃいませ♪
420,魔法少女育成計画,http://mahoiku.jp/,TVアニメ「魔法少女育成計画」公式サイト。2016年TVアニメーション放送決定！,"まほいく,まほいくアニメ,魔法少女育成計画,遠藤浅蜊",,TVアニメ「魔法少女育成計画」公式サイト,website,http://mahoiku.jp/,http://mahoiku.jp/og_img/og_img.jpg,,TVアニメ「魔法少女育成計画」公式サイト。2016年TVアニメーション放送決定！
421,Vivid Strike!,http://vivid-strike.com/,「魔法少女リリカルなのは」シリーズの原作/脚本・都築真紀が新たに手がけるTVアニメ『ViVid Strike！』が2016年10月より放送開始！！アニメーション制作はセブン・アークス・ピクチャーズが手がける。キャストはフーカ・レヴェントン役を水瀬いのり、リンネ・ベルリネッタ役を小倉唯が担当し、それぞれアーティストとしてテーマソングも担当。,,セブン・アークス・ピクチャーズ,TVアニメ「Vivid Strike !」オフィシャルサイト,website,http://vivid-strike.com/,http://vivid-strike.com/ogp.png,TVアニメ「Vivid Strike !」オフィシャルサイト,「魔法少女リリカルなのは」シリーズの原作/脚本・都築真紀が新たに手がけるTVアニメ『ViVid Strike！』が2016年10月より放送開始！！アニメーション制作はセブン・アークス・ピクチャーズが手がける。キャストはフーカ・レヴェントン役を水瀬いのり、リンネ・ベルリネッタ役を小倉唯が担当し、それぞれアーティストとしてテーマソングも担当。
422,うたの☆プリンスさまっ♪マジLOVEレジェンドスター,http://utapri.tv/,テレビアニメ4期シリーズ『うたの☆プリンスさまっ♪ マジLOVEレジェンドスター』公式サイトです。2016年10月より放送スタート！,"うたプリ,うたぷり",,,,,,,
423,タイガーマスクW,http://www.toei-anim.co.jp/tv/tigermask_w/,「光のタイガー」「闇のタイガー」２人を待ち受ける戦いと友情の行方は!?初代タイガーマスク伊達直人が残したタイガーマスクの遺産は 新たなレスラーへと受け継がれる…復活した組織・虎の穴との新たな戦いを現代に届けます！,"タイガーザダーク,タイガーマスク",,タイガーマスクW,website,http://www.toei-anim.co.jp/tv/tigermask_w/,http://www.toei-anim.co.jp/tv/tigermask_w/og2.png,,「光のタイガー」「闇のタイガー」２人を待ち受ける戦いと友情の行方は!?初代タイガーマスク伊達直人が残したタイガーマスクの遺産は 新たなレスラーへと受け継がれる…
424,こねこのチー ポンポンらー大冒険,http://chissweethome.com/,2016年秋、週刊モーニングで大人気だった子猫マンガ「チーズスイートホーム」が、新しく3DCGアニメになって、テレビ放送決定！,"チーズスイートホーム,3D,3Dアニメ,ネコアニメ,ネコマンガ,モーニング",,,,,,,
425,モンスターハンターストーリーズ　RIDE ON,http://www.mh-stories-rideon.jp/,オフィシャルサイト。大人気ゲーム『モンスターハンター』シリーズ初のアニメ化！2016年10月よりフジテレビにて 毎週日曜あさ8:30～放送,,,モンスターハンターストーリーズ　RIDE ON - フジテレビ,article,http://www.mh-stories-rideon.jp/,http://www.mh-stories-rideon.jp/img/fb.png,,オフィシャルサイト。大人気ゲーム『モンスターハンター』シリーズ初のアニメ化！2016年10月よりフジテレビにて 毎週日曜あさ8:30～放送
426,カードファイト!!ヴァンガードG NEXT,http://cf-vanguard.com/information/tgs2016_vg_stage/,,,,,,,,,
427,機動戦士ガンダム 鉄血のオルフェンズ(第2期),http://www.g-tekketsu.com/,『機動戦士ガンダム 鉄血のオルフェンズ』2016年10月2日より毎週日曜午後5時～MBS/TBS系列全国28局ネットにて放送開始,"機動戦士ガンダム,鉄血のオルフェンズ,GUNDAM,バルバトス,ORPHANS",,機動戦士ガンダム 鉄血のオルフェンズ,website,http://g-tekketsu.com/,http://g-tekketsu.com/logo2nd.jpg,機動戦士ガンダム 鉄血のオルフェンズ,『機動戦士ガンダム 鉄血のオルフェンズ』2016年10月2日より毎週日曜午後5時～MBS/TBS系列全国28局ネットにて放送開始
428,SHOW BY ROCK!!＃,http://showbyrock-anime.com/,サンリオ初のゲーム・アニメファン向けキャラクタープロジェクト「SHOW BY ROCK!!」TVアニメ化決定！2015年4月5日(日)22:00〜 TOKYO MX他にて放送開始！,"ショウバイロック,バンド,showbyrock,サンリオ,音ゲー,稲川英里,プラズマジカ,アニメ",,,,,,,
429,おくさまが生徒会長!+!,http://www.dreamcreation.co.jp/okusama/,,,星風高校風紀委員会2016,,,,,,
430,マジきゅんっ！ルネッサンス,http://www.magic-kyun.jp/,「マジきゅんっ！ルネッサンス」は個性豊かなアルティスタたちと様々なメディアでたくさんの思い出を作っていくオールメディア・プロジェクトです。,,,,,,,,
431,刀剣乱舞-花丸-,http://touken-hanamaru.jp/,「刀剣乱舞-花丸-」2016年10月よりテレビアニメ放送開始！！ 原案：「刀剣乱舞-ONLINE-」より（DMMゲームズ/Nitroplus）監督：直谷たかし、キャラクターデザイン：谷口淳一郎、シリーズ構成・脚本：ピエール杉浦、アニメーション制作：動画工房,"刀剣乱舞,とうらぶ,花丸,hanamaru,アニメ,TV,ONLINE,谷口淳一郎,動画工房,DMMゲームズ,Nitroplus,市来光弘,増田俊樹",,アニメ『刀剣乱舞-花丸-』 公式サイト,website,http://touken-hanamaru.jp/,http://touken-hanamaru.jp/images/ogp.jpg,アニメ『刀剣乱舞-花丸-』 公式サイト,「刀剣乱舞-花丸-」2016年10月よりテレビアニメ放送開始！！
432,アイドルメモリーズ,http://idol-memories.com/,私の夢は、ここ（現実）でも輝く！360°全包囲アイドルアニメ「アイドルメモリーズ」2016年10月 TOKYO MXにて放送開始！,"アイドルメモリーズ,アイメモ,スターリング,シャドウ,アイドル学園,VR,アイドルリング,idol memories,StarRing,Shadow,Happy Elements,アニメ,ハピエレ",,TVアニメ「アイドルメモリーズ」公式サイト,website,http://idol-memories.com,http://idol-memories.com/images/ogimage.png,TVアニメ「アイドルメモリーズ」公式サイト,私の夢は、ここ（現実）でも輝く！360°全包囲アイドルアニメ「アイドルメモリーズ」2016年10月 TOKYO MXにて放送開始！
433,あおおに ～じ・あにめぇしょん～,http://aooni-anime.com/tv/,アニメ「あおおに ～じ・あにめぇしょん～」公式サイトです。あらたな「あおおに」のさんげきがいま、はじまる？10月よりテレビ東京・BSジャパンにて放送。,"あおおに,青鬼,アニメ,テレビ東京,TX,BSジャパン,BSJ,noprops,惨劇,2016年10月",,アニメ「あおおに ～じ・あにめぇしょん～」公式サイト,website,http://aooni-anime.com/,http://aooni-anime.com/images/og.png,アニメ「あおおに ～じ・あにめぇしょん～」公式サイト,アニメ「あおおに ～じ・あにめぇしょん～」公式サイト 2016年10月テレビ東京・BSジャパンにて放送開始！
434,12歳。～ちっちゃなムネのトキメキ～ セカンドシーズン,http://www.shogakukan.co.jp/pr/12sai/,「12歳。」公式サイト。作品情報やコミックス・アニメの情報など。,"12歳。,ちゃお,まいた菜穂,綾瀬花日,高尾優斗,蒼井結衣,桧山一翔",,,,,,,
435,ステラのまほう,http://magicofstella.com/,"「ステラのまほう」TVアニメ化決定！！同人ゲーム作りにはげむ女子高生たちの青春4コマ！同人ゲームを作る部活「SNS部」と出会った本田珠輝。絵もプログラムもシナリオも音楽も、一から自分たちで作るのって大変！先輩や幼なじみと一緒に、完成を目指して頑張ります！","ステラのまほう,まんがタイムきららMAX,ステラ,すてら,ステま,魔法,珠輝,椎奈,あやめ,歌夜,裕美音,くろば・U",,,,,,,
436,学園ハンサム,http://penet.co.jp/animehandsome/,校門を抜けると、ハンサムだった― 学園恋愛アドベンチャー「学園ハンサム」がTVアニメ化。地上波放送決定！,"学園ハンサム,美剣咲夜,西園寺輝彦,早乙女拓也,鏡蓮児,志賀慎吾,優,次郎,アニメ,TVアニメ,地上波,東北ペネット,チーム欲求腐満,木足利根曽",,TVアニメ「学園ハンサム」2016年10月より地上波放送！,website,http://penet.co.jp/animehandsome/,http://penet.co.jp/animehandsome/assets/img/sns2.png,,校門を抜けると、ハンサムだった― 学園恋愛アドベンチャー「学園ハンサム」がTVアニメ化。地上波放送決定！
437,TRICKSTER -江戸川乱歩「少年探偵団」より-,http://trickster-project.com/anime/,死ねる事件、求ム。キャラクターデザインPEACH-PITで贈る、オリジナルアニメーションが2016年10月放送スタート！二人の少年が出会う時、近未来を舞台に、新たな探偵物語が幕を開ける！,"TRICKSTER,TRICKSTAR,トリックスター,PEACH-PIT,江戸川乱歩,少年探偵団,トムス・エンタテインメント,シンエイ動画,あにめのめ,山下大輝,逢坂良太,二十面相,明智小五郎,アニメ,anime,10月新番,マガジン,公式",,TRICKSTER -江戸川乱歩「少年探偵団」より-│TVアニメ公式サイト,website,http://trickster-project.com/anime/,http://trickster-project.com/anime/assets/img/ogp.png,TRICKSTER -江戸川乱歩「少年探偵団」より-│TVアニメ公式サイト,死ねる事件、求ム。キャラクターデザインPEACH-PITで贈る、オリジナルアニメーションが2016年10月放送スタート！二人の少年が出会う時、近未来を舞台に、新たな探偵物語が幕を開ける！
