bases_id,title,public_url,description,keywords,author,og_title,og_type,og_url,og_image,og_site_name,og_description
365,ReLIFE,http://relife-anime.com/,WEB漫画「comico」連載の人気No.1コミックがついにアニメ化決定！2016年7月1日より毎週金曜24時～TOKYO MX、群馬テレビ、とちぎテレビ、BS11にて人生再スタート！,"ReLIFE,リライフ,comico,コミコ,TVアニメ,WEB漫画,小野賢章,茅野愛衣,木村良平,戸松遥,内田雄馬,上田麗奈",Aniplex Inc.,TVアニメ「ReLIFE」公式サイト,website,http://relife-anime.com/,http://relife-anime.com/og.jpg,,WEB漫画「comico」連載の人気No.1コミックがついにアニメ化決定！2016年7月1日より毎週金曜24時～TOKYO MX、群馬テレビ、とちぎテレビ、BS11にて人生再スタート！
366,不機嫌なモノノケ庵,http://mononokean.tv/,TVアニメ「不機嫌なモノノケ庵」公式サイト。TOKYO MX、BS11、AT-X他にて2016年7月より放送スタート！,"アニメ,不機嫌なモノノケ庵,ワザワキリ,ガンガンONLINE,安倍,芦屋,モジャ",,TVアニメ「不機嫌なモノノケ庵」公式サイト,article,http://mononokean.tv/,http://mononokean.tv/images/sb_fbsum.jpg,,TVアニメ「不機嫌なモノノケ庵」公式サイト。TOKYO MX、BS11、AT-X他にて2016年7月より放送スタート！
367,ぐらP＆ろで夫,http://grap-rodeo.net/,【GRANRODEO】初のオリジナルアニメ「ぐらP&ろで夫」第２シーズン！高校を卒業したろで夫は、大学に行かず、就職もせず、まっすぐ音楽の道へ（つまり無職）！バンド「ロデオスパイダー」のメンバーそしてぐらPと共に、ろで夫はデビューを目指す！TOKYO MX、ランティスYouTubeチャンネルにて放送中！声の出演：谷山紀章、今野浩喜、下野紘、アイアム野田　監督：新海岳人　イラスト：JUN OSON,"ぐらP,ぐらＰ,ぐらぴー,グラP,ろで夫,ろでお,ロデ夫,GRANRODEO,グランロデオ,KISHOW,e-ZUKA,谷山紀章,飯塚昌明,Pie in the sky,ロデオ倶楽部,アニメ,アニメーション,かよチュー,コメディ,お笑い,今野浩喜,キングオブコメディ,新海岳人,JUN OSON,下野鉱,アイアム野田,鬼が島,鬼ヶ島",,ぐらＰ＆ろで夫 公式ウェブサイト,website,http://grap-rodeo.net/,http://grap-rodeo.net/images/facebook.jpg,ぐらＰ＆ろで夫 公式ウェブサイト,【GRANRODEO】初のオリジナルアニメ「ぐらP&ろで夫」第２シーズン！高校を卒業したろで夫は、大学に行かず、就職もせず、まっすぐ音楽の道へ（つまり無職）！バンド「ロデオスパイダー」のメンバーそしてぐらPと共に、ろで夫はデビューを目指す！TOKYO MX、ランティスYouTubeチャンネルにて放送中！声の出演：谷山紀章、今野浩喜、下野紘、アイアム野田　監督：新海岳人　イラスト：JUN OSON
368,ベルセルク,http://berserk-anime.com/,2016年新アニメ化プロジェクト始動！,"ベルセルク,BERSERK,アニメベルセルク,烙印,生贄",,アニメ「ベルセルク」公式サイト,website,http://berserk-anime.com/,http://berserk-anime.com/og_img/og_img.jpg,,アニメ「ベルセルク」公式サイト。7月よりアニメイズム枠、WOWOWにて放送開始！
369,Thunderbolt Fantasy 東離劍遊紀,http://www.thunderboltfantasy.com/,“虚淵玄”新プロジェクト『Thunderbolt Fantasy 東離劍遊紀』公式サイト,"虚淵玄,Thunderbolt Fantasy,東離劍遊紀",,,website,http://www.thunderboltfantasy.com/,/common/images/tbf_ogimg.jpg,Thunderbolt Fantasy 東離劍遊紀,ニトロプラス“虚淵玄”原案・脚本・総監修、“霹靂社”制作による完全新作の日台合同映像企画、武侠ファンタジー人形劇『Thunderbolt Fantasy 東離劍遊紀（サンダーボルトファンタジー トウリケンユウキ）』が今ここに開演！
370,一人之下 the outcast,http://hitorinoshita.com/,TVアニメ「一人之下 the outcast」公式サイト。2016年7月よりTOKYO MXにて放送開始！,"アニメ,一人之下,一人の下,ひとりのした,2016,夏アニメ,一人之下 the outcast",,,,,,,
371,食戟のソーマ 弐ノ皿 ,http://shokugekinosoma.com/,"TVアニメ『食戟のソーマ 弐ノ皿』公式サイト。","食戟のソーマ,ソーマ,しょくげきのそーま,しょくげき,そーま,弐ノ皿,そのに",,,,,,,
372,ラブライブ！サンシャイン!!,http://www.lovelive-anime.jp/uranohoshi/,サンライズ×ランティス×G'sマガジンが送り出す、新世代アイドルプロジェクト「ラブライブ！」の公式Webサイト。彼女たちの活動状況や、最新情報などはここでチェック！,,,,,,,,
373,初恋モンスター,http://hatsukoimonster.jp/,TVアニメ「初恋モンスター」公式HP,,,初恋モンスター,website,,http://hatsukoimonster.jp/images/ogp-image.png,,TVアニメ「初恋モンスター」公式HP
374,B-PROJECT～鼓動＊アンビシャス～,http://bpro-anime.com/,運命を惑わせる鼓動は、運命を変える夢(ステージ)になる──TVアニメ「B-PROJECT～鼓動＊アンビシャス～」2016年7月2日(土)より放送開始,"B-PROJECT, B-PROJECT～鼓動＊アンビシャス～, Bプロ, B-PRO, MAGES., メージス, 西川貴教, T.M.Revolution, 志倉千代丸, 雪広うたこ, 菅沼栄治, 赤尾でこ, 川村敏江, 金元寿子, 小野大輔, 岸尾だいすけ, 豊永利行, 花江夏樹, 加藤和樹, 上村祐翔, 柿原徹也, 森久保祥太郎, 大河元気, 増田俊樹, 鳥海浩輔, 興津和幸, 浪川大輔, A-1 Pictures",Aniplex Inc.,TVアニメ「B-PROJECT～鼓動＊アンビシャス～」公式サイト,website,http://bpro-anime.com/,http://bpro-anime.com/og_image.jpg,TVアニメ「B-PROJECT～鼓動＊アンビシャス～」公式サイト,運命を惑わせる鼓動は、運命を変える夢(ステージ)になる──TVアニメ「B-PROJECT～鼓動＊アンビシャス～」2016年7月2日(土)より放送開始
