bases_id,title,public_url,description,keywords,author,og_title,og_type,og_url,og_image,og_site_name,og_description
281,機動戦士ガンダム サンダーボルト,http://gundam-tb.net/,『機動戦士ガンダム サンダーボルト DECEMBER SKY』Blu-ray＆DVD 2016年7月29日（金）発売！セル＆レンタル有料配信中！,"サンダーボルト,フルアーマー,中村悠一,木村良平,ガンダム,サンライズ,アニメ",,『機動戦士ガンダム サンダーボルト』,website,http://gundam-tb.net/,http://gundam-tb.net/images/gundam-tb.jpg,『機動戦士ガンダム サンダーボルト』,『機動戦士ガンダム サンダーボルト DECEMBER SKY』Blu-ray＆DVD 2016年7月29日（金）発売！セル＆レンタル有料配信中！
282,プリンス・オブ・ストライド オルタナティブ,http://pos-a.jp/,駆け抜ける、少年たちの物語。「プリンス・オブ・ストライド　オルタナティブ」2016年1月TVアニメ化決定！,"プリスト,プリンスオブストライド,オルタナティブ,prince of stride,alternative,アニメ",,TVアニメ「プリンス・オブ・ストライド　オルタナティブ」公式サイト,video.tv_show,http://pos-a.jp/,http://pos-a.jp/images/ogp_imag01.png,,
283,無彩限のファントム・ワールド,http://phantom-world.com/,TVアニメ「無彩限のファントム・ワールド」ABC朝日放送、TOKYO MX1、テレビ愛知、BS11にて2016年1月より放送開始！,"無彩限のファントム・ワールド, ファントム, 秦野宗一郎, 京都アニメーション",,TVアニメ「無彩限のファントム・ワールド」公式サイト,website,http://phantom-world.com/,http://phantom-world.com/img/social.jpg,TVアニメ「無彩限のファントム・ワールド」公式サイト,TVアニメ「無彩限のファントム・ワールド」ABC朝日放送、TOKYO MX1、テレビ愛知、BS11にて2016年1月より放送開始！
284,ハルチカ〜ハルタとチカは青春する〜,http://haruchika-anime.jp/,アニメ『ハルチカ〜ハルタとチカは青春する〜』公式サイト,"ハルチカ,ハルタ,チカ,アニメ,公式サイト,角川書店,初野晴,なまにくATK,P.A.WORKS,退出ゲーム,初恋ソムリエ,空想オルガン,千年ジュリエット,惑星カロン",,アニメ『ハルチカ〜ハルタとチカは青春する〜』公式サイト,tv_show,http://haruchika-anime.jp,http://haruchika-anime.jp/img/fb.png,アニメ『ハルチカ〜ハルタとチカは青春する〜』公式サイト,アニメ『ハルチカ〜ハルタとチカは青春する〜』公式サイト
285,ノルン＋ノネット,http://norn9-nonet.com/,TVアニメーション「ノルン ノネット」公式サイトです。「3人の少女と9人の若者が、空行く船と共に旅立つ――」2016年3月25日より、Blu-ray＆DVD全4巻リリース開始！,"乙女ゲーム,乙女ゲー,おとめゲーム,おとゲー,オトメゲーム,オトゲー,アニメ化,アニメーション化,オトメイト,恋愛,特殊能力,アイディアファクトリー,女性向け,恋愛AVG,ノルン,こはる,久我深琴,不知火七海,結賀駆,市ノ瀬千里,遠矢正宗,吾妻夏彦,二条朔也,加賀見一月,宿吏暁人,室星ロン,乙丸平士,藤村歩,高垣彩陽,瀬戸麻沙美,梶裕貴,下野紘,佐藤拓也,小野大輔,斎賀みつき,遊佐浩二,杉山紀彰,杉田智和,吉野裕行,やなぎなぎ",,アニメ『ノルン+ノネット』公式サイト,website,http://norn9-nonet.com/index.html,http://norn9-nonet.com/core_sys/images/main/logo.png,,TVアニメーション「ノルン＋ノネット」公式サイトです。「3人の少女と9人の若者が、空行く船と共に旅立つ――」2016年1月放送開始！
286,アクティヴレイド －機動強襲室第八係－,http://activeraid.net/,TVアニメ「アクティヴレイド -機動強襲室第八係-」公式サイト,"アクティヴレイド,ダイハチ,activeraid,機動強襲",,TVアニメ「アクティヴレイド -機動強襲室第八係-」公式サイト,website,http://activeraid.net/,/icon/favicon.jpg,TVアニメ「アクティヴレイド -機動強襲室第八係-」公式サイト,TVアニメ「アクティヴレイド -機動強襲室第八係-」公式サイト
287,少女たちは荒野を目指す,http://shokomeza.com/,企画：タカヒロ×シナリオ：田中ロミオ×原画：松竜によるタカヒロIVプロジェクト第１弾「少女たちは荒野を目指す」がついにＴＶアニメ化決定！ 2016年1月放送開始！,"少女たちは荒野を目指す,荒野,しょこめざ,タカヒロ,松竜,田中ロミオ,みなとそふと,千菅春香,花澤香菜,明坂聡美,佐藤聡美,山下誠一郎,豊永利行,佐藤卓哉,綾奈ゆにこ,Project No.9",,,,,,,
288,僕だけがいない街,http://bokumachi-anime.com/,あの日、彼女は死んだ。TVアニメ「僕だけがいない街」毎週木曜24:55からフジテレビ“ノイタミナ”ほかにて放送中,"僕だけがいない街, ぼくだけがいないまち, 僕街, ぼくまち, 三部けい, 土屋太鳳, 満島真之介, ASIAN KUNG-FU GENERATION, アジカン, さユり, 伊藤智彦, 岸本卓, 佐々木啓悟, 梶浦由記, A-1 Pictures, ノイタミナ",Aniplex Inc.,TVアニメ「僕だけがいない街」公式サイト,website,http://bokumachi-anime.com/,http://bokumachi-anime.com/og_image.jpg?20160108,,あの日、彼女は死んだ。TVアニメ「僕だけがいない街」毎週木曜24:55からフジテレビ“ノイタミナ”ほかにて放送中
289,おじさんとマシュマロ,http://www.dreamcreation.co.jp/ojimasyu/,,,,,,,,,
290,ファンタシースターオンライン2 ジ アニメーション,http://phantasystar.sega.jp/psportal/pso15anniversary/animation/,ファンタシースターシリーズ公式ポータルサイト,"ファンタシースター,ファンタシースターポータブル,ファンタシースターオンライン,ファンタシースターポータブル2,ファンタシースターポータブル2 インフィニティ,インフィニティ,ファンタシースターユニバース,イルミナスの野望,PHANTASY,STAR,UNIVERSE,INFINITY,PSP2,PSP2i,PSPo2,PSPo2i,SEGA,RPG,SF,ゲーム,PSP,PSO,PSO2",,『PSO』15周年記念 TVアニメ「ファンタシースターオンライン2　ジ　アニメーション」 ｜ アニメ公式ページ ｜ ファンタシースターシリーズ公式ポータルサイト,website,http://phantasystar.sega.jp/psportal/pso15anniversary/animation/,http://phantasystar.sega.jp/psportal/pso15anniversary/common/image/icon.jpg,(C) SEGA,国内400万IDの国内最大級オンラインRPG待望のTVアニメ化！！2016年3月よりBlu-ray&DVD順次発売開始！既巻好評発売中！！
